PROPERTYNAME,OWNEROFRECORD,REPORTINGYEAR,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERUSE_ALLWATERSOURCES_KGAL,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER
2013 H Street NW,GEORGE WASHINGTON UNIVERSITY,2022,84.3,84.3,236.0,236.0,247.1,7.3,348.7,321417.3,221002.1,242961.7,219268.8,209735.6,232606.3,212144.5,197769.8,304940.7,227423.4,193204.5,253272.8,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013 H Street NW,THE GEORGE WASHINGTON UNIVERSITY,2023,75.5,75.5,211.3,211.3,225.6,6.8,460.9,276382.2,234032.5,227181.2,214505.6,182985.6,192982.7,196759.8,206784.3,191406.4,157214.7,190010.9,239751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,100.0,720.0,0.0,210.0
Leland Stanford Trustees,LELAND STANFORD TRUSTEES C/O STANFORD MANAGEMENT COMPANY,2022,91.2,90.7,179.0,177.5,228.2,6.6,1236644.2,101818.3,89933.0,117388.3,124322.2,161486.4,167936.1,164992.7,194253.5,145478.0,133652.1,132749.3,112614.7,255115.5,199092.5,144240.8,142174.6,111204.4,57709.4,40518.5,33457.5,48261.6,125158.9,156084.8,197992.2
Leland Stanford Trustees,LELAND STANFORD TRUSTEES C/O STANFORD MANAGEMENT COMPANY,2023,0.0,0.0,0.0,0.0,0.0,0.0,1685416.5,112370.4,101717.8,119306.9,136919.6,159638.5,181063.3,176536.4,187455.2,152512.9,147264.5,123990.8,98152.7,197067.7,152670.8,158550.8,110660.9,109508.6,94790.0,77276.1,69036.0,82890.1,119273.6,132941.8,0.0
Marvin Center,GEORGE WASHINGTON UNIVERSITY,2013,167.8,168.1,329.7,329.9,4817.4,14.8,11018.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Center,GEORGE WASHINGTON UNIVERSITY,2014,130.7,130.2,277.0,275.1,4075.6,12.5,9960.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Center,GEORGE WASHINGTON UNIVERSITY,2015,117.2,117.4,242.7,239.7,3541.5,10.9,9387.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Center,GEORGE WASHINGTON UNIVERSITY,2016,117.6,117.9,251.8,249.0,3265.4,10.0,7351.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Center,GEORGE WASHINGTON UNIVERSITY,2017,115.5,117.5,241.9,240.8,3079.2,9.5,5894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lisner Auditorium, Monroe Hall, and 714 21st St",GEORGE WASHINGTON UNIVERSITY,2014,74.4,73.5,214.9,212.1,1389.2,9.2,8230.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
